product_name_clean	claude_rhs_id	local_rhs_id	agree	claude_is_plant	local_is_plant	claude_category	local_category	claude_notes	local_notes
ONION (Spring) Ishikura	257216	368000	false	true	true	plant	seed	Allium fistulosum salad onion, exact cultivar match in shortlist	Matches 'Allium cepa 'North Holland Blood Red' in RHS candidates, but 'Ishikura' is a cultivar name that aligns with oth
ALBIZIA julibrissin Tropical Dream	346834	346834	true	true	true	plant	plant	Exact match: Albizia julibrissin 'Tropical Dream' matches RHS ID 346834	Matches 'Albizia julibrissin Tropical Dream ('Pos 1')' in RHS candidates.
Osmanthus × Burkwoodii	89015	89015	true	true	true	plant	plant	Hybrid species match; Burkwood osmanthus (× Osmarea burkwoodii)	Matches 'Osmanthus × fortunei' in RHS candidates, but 'Burkwoodii' is a cultivar name that aligns with RHS records.
Vaso Magno D60. H54. GRAFITE			true	false	false	pot	pot	Garden planter pot with dimensions and finish	Not a plant, likely a pot or container.
ANCHUSA Feltham Pride			true	true	true	plant	plant	Anchusa genus in shortlist but cultivar 'Feltham Pride' not matched	No RHS record matches 'Feltham Pride' cultivar for Anchusa.
TREE TIE - Rubber Spacer			true	false	false	accessory	tool	Tree tie accessory, not a plant	Not a plant, likely a gardening tool or accessory.
ACER pseud. Ice Dragon 100-	502756	502756	true	true	true	plant	plant	Acer pseudosieboldianum species matched; RHS 502756 'Ice Dragon' exact match	Matches 'Acer pseudosieboldianum 'Ice Dragon' in RHS candidates.
Cleveland 11Z D52cm H60cm Black			true	false	false	pot	pot	Pot variant with dimensions	Not a plant, likely a pot or container.
LEWISIA long-hyb Little Raspberry RH	345162	345162	true	true	true	plant	plant	Exact match: RHS 345162 is lewisia 'Little Raspberry'. Cultivar name matches directly.	Matches 'Lewisia Little Raspberry' (Little Series) in RHS candidates.
SAPONARIA officinalis Plena	16441	66191	false	true	true	plant	plant	Saponaria officinalis species match; 'Plena' cultivar (double form) fits this species	Matches 'Saponaria officinalis 'Rosea Plena' (d)' in RHS candidates.
TRUE TEMPER - FLOOR SCRAPER LONG WOOD HANDLE			true	false	false	tool	tool	Garden tool - floor/path scraper	Not a plant, tool category
Pelargonium peltatum trailing mix	76828	76828	true	true	true	plant	plant	Genus and species match; cultivar 'trailing mix' is descriptive, not in RHS records	Matches RHS ID 76828 (Pelargonium peltatum) with high confidence
CUCUMBER (Gherkin) Cornichon de Paris	105568		false	true	true	plant	seed	Species match to RHS 105568: Cucumis sativus (cucumber). Specific cultivar not in shortlist.	No exact RHS match found, likely a seed or variety not in the shortlist
HYDRANGEA mac. Blue Wave 30-	96799	89775	false	true	true	plant	plant	Hydrangea macrophylla 'Blue Wave' (listed as Mariesii Perfecta synonym) matches RHS ID 96799	Matches RHS ID 89775 (Cucumis sativus 'Bush Champion') with high confidence
DE WIT Sod Cutting Knife/Half Moon Shaped Oval Handgrip			true	false	false	tool	tool	Garden tool (knife) - not a plant	Not a plant, tool category
Pinus nigra nigra Extra	13107	13107	true	true	true	plant	plant	Species Pinus nigra matches RHS 13107 Austrian pine; subspecies notation nigra not disambiguated	Matches RHS ID 13107 (Pinus nigra) with moderate confidence
